ID,OUTCOME
303713,0
141107,0
447316,0
196066,0
179947,1
246300,0
182549,1
304827,1
591944,0
142876,0
39397,0
445679,1
605134,0
208970,0
143299,0
198060,0
222808,1
796912,0
309406,0
206092,0
121864,0
453905,1
150341,0
384578,1
298074,0
862202,1
747637,0
438387,1
479943,0
433621,0
231068,1
192,0
3264,1
211300,1
3559,0
865863,1
49560,1
445364,1
900068,0
306028,1
185943,1
252156,1
100202,0
51349,0
239813,1
118555,1
781829,0
320998,0
489559,0
352687,1
581445,1
459677,0
91360,0
96404,1
635499,1
277024,1
670445,1
949010,0
218511,0
311673,1
290251,1
388081,1
320940,0
72973,1
773868,0
276638,0
132294,1
230964,0
58061,0
713852,1
458239,1
611295,1
28592,1
761461,0
365595,1
985643,0
261931,0
116049,0
77675,1
990030,0
91560,0
567131,1
76281,0
257917,1
147855,0
467581,1
209364,0
928104,1
84466,1
46560,0
554413,1
599762,0
908314,0
683866,0
263899,0
20028,1
284335,0
479848,0
665280,0
127128,1
711926,0
238915,0
313173,1
472996,0
134115,1
121,0
573224,0
5415,1
167285,0
25342,1
264346,1
430027,0
323593,1
110520,0
459797,0
47782,0
18105,1
645894,0
57827,1
48371,0
234297,0
762885,0
408569,0
842565,0
748350,0
51301,0
388577,0
58577,0
150473,0
434668,0
301885,1
181709,1
447807,0
45757,0
619400,0
723925,0
195611,1
827781,0
894399,0
711612,0
932752,0
658499,0
227185,0
134950,0
46382,1
243569,0
79263,0
236757,0
778228,0
351840,1
326692,0
362213,0
500992,1
57525,0
784370,0
245588,1
481489,0
819644,1
358632,0
95227,1
376859,1
118351,0
442871,1
91625,0
540701,0
747723,1
795127,1
386257,0
498504,0
845161,1
364832,0
161985,1
640579,0
36453,0
338151,0
82975,0
110957,0
476428,0
403586,0
88249,0
166961,0
847715,1
683639,1
154880,1
206229,1
155419,0
21931,1
600531,1
585215,1
308726,1
274115,0
579007,1
303310,0
820732,1
293345,0
458864,0
741932,1
213472,1
438738,0
67317,0
65027,1
717993,0
521522,1
118144,0
95934,1
17473,1
269249,0
642833,1
213907,1
472420,1
347004,0
79936,1
174040,0
378450,1
288411,1
448945,1
801206,0
537074,0
490970,0
558906,0
423243,1
999705,1
447388,0
9882,0
422993,0
553517,1
442681,0
556368,0
569447,1
88436,0
57836,0
362096,0
615737,1
792271,0
877146,1
706886,0
243080,0
794226,1
5418,0
905111,0
108,0
558295,1
245004,0
184208,1
39192,0
45850,0
404856,0
260245,0
371480,1
167290,0
326103,0
131273,1
974847,0
749400,1
277422,0
521047,1
33697,0
891892,1
45169,1
21591,1
